fips,county,state,year,candidate,vote
9007,Middlesex,Connecticut,2016,Trump,38847
9009,New Haven,Connecticut,2016,Clinton,203601
9009,New Haven,Connecticut,2016,Trump,158373
9011,New London,Connecticut,2016,Clinton,62951
9011,New London,Connecticut,2016,Trump,54574
9013,Tolland,Connecticut,2016,Clinton,38450
9013,Tolland,Connecticut,2016,Trump,33989
9015,Windham,Connecticut,2016,Clinton,21776
9015,Windham,Connecticut,2016,Trump,25738
10003,New Castle,Delaware,2016,Clinton,162919
10003,New Castle,Delaware,2016,Trump,85525
10005,Sussex,Delaware,2016,Clinton,39333
10005,Sussex,Delaware,2016,Trump,62611
10001,Kent,Delaware,2016,Clinton,33351
10001,Kent,Delaware,2016,Trump,36991
11001,District of Columbia,District of Columbia,2016,Clinton,282830
11001,District of Columbia,District of Columbia,2016,Trump,12723
12086,Miami-Dade,Florida,2016,Clinton,624146
12086,Miami-Dade,Florida,2016,Trump,333999
12011,Broward,Florida,2016,Clinton,553320
12011,Broward,Florida,2016,Trump,260951
12099,Palm Beach,Florida,2016,Clinton,374673
12099,Palm Beach,Florida,2016,Trump,272402
12057,Hillsborough,Florida,2016,Clinton,307896
12057,Hillsborough,Florida,2016,Trump,266870
12095,Orange,Florida,2016,Clinton,329894
12095,Orange,Florida,2016,Trump,195216
12103,Pinellas,Florida,2016,Clinton,233701
12103,Pinellas,Florida,2016,Trump,239201
12031,Duval,Florida,2016,Clinton,205704
12031,Duval,Florida,2016,Trump,211672
