CD,Incumbent,Party,Clinton 2016,Trump 2016,Obama 2012,Romney 2012,Obama 2008,McCain 2008
GA-12,"Allen, Rick",Rep,40.7,56.9,43.6,55.4,43.9,55.6
GA-13,"Scott, David",Dem,71,26.6,69.2,30,67.1,32.3
GA-14,"Graves, Tom",Rep,22.1,75,25.3,73.2,27.8,71
HI-01,"Hanabusa, Colleen",Dem,63.1,30.5,69.7,29,70.3,28.3
HI-02,"Gabbard, Tulsi",Dem,61.4,29.6,71.4,26.7,73.4,24.9
IA-01,"Blum, Rod",Rep,45.2,48.7,56.2,42.5,58.5,40.4
IA-02,"Loebsack, David",Dem,45,49.1,55.8,42.7,57.1,41.6
IA-03,"Young, David",Rep,45,48.5,51.4,47.2,52.4,46.3
IA-04,"King, Steve",Rep,33.5,60.9,45.3,53.4,48.5,50.2
ID-01,"Labrador, Raul",Rep,25.4,63.7,32.2,64.9,35.1,62.5
ID-02,"Simpson, Mike",Rep,29.8,54.5,33.1,64.1,37.1,60.5
IL-01,"Rush, Bobby",Dem,75.4,21.4,79,20.2,80.8,18.5
IL-02,"Kelly, Robin",Dem,78,19.1,80.7,18.5,81.1,18.2
IL-03,"Lipinski, Dan",Dem,55.2,39.9,55.9,42.6,58.3,40.4
IL-04,"Gutierrez, Luis",Dem,82.1,13.2,80.9,17.1,80.5,18.2
IL-05,"Quigley, Mike",Dem,70.5,23.9,66,31.8,69.9,28.8
IL-06,"Roskam, Peter",Rep,50.2,43.2,45.1,53.3,51.3,47.3
IL-07,"Davis, Danny",Dem,87.4,9.2,87.2,11.8,89.4,9.9
IL-08,"Krishnamoorthi, Raja",Dem,58.1,36.4,57.4,40.9,61.5,37.1
IL-09,"Schakowsky, Jan",Dem,70.1,24.9,65,33.3,68.6,30.3
IL-10,"Schneider, Brad",Dem,62,32.6,57.5,41.1,63,35.9
IL-11,"Foster, Bill",Dem,58.9,35.4,57.8,40.6,61.3,37.5
IL-12,"Bost, Mike",Rep,40.2,55,49.7,48.2,54.7,43.6
IL-13,"Davis, Rodney",Rep,44.2,49.7,48.6,48.9,54.6,43.6
IL-14,"Hultgren, Randy",Rep,44.8,48.7,44.2,54.2,50.7,48
IL-15,"Shimkus, John",Rep,24.5,70.7,34.1,63.9,42.8,55.4
IL-16,"Kinzinger, Adam",Rep,38.3,55.5,45.2,52.9,50,48.2
IL-17,"Bustos, Cheri",Dem,46.7,47.4,57.6,40.6,60,38.5
IL-18,"LaHood, Darin",Rep,33.3,60.6,37.4,60.7,44.1,54.4
IN-01,"Visclosky, Pete",Dem,54.1,41.5,61.2,37.4,63.3,35.8
IN-02,"Walorski, Jackie",Rep,36.1,59.3,42.1,56.1,49.6,49.3
IN-03,"Banks, Jim",Rep,30.1,65.1,35.7,62.5,43,56
IN-04,"Rokita, Todd",Rep,30.2,64.3,36.9,60.9,44.6,54.2
IN-05,"Brooks, Susan",Rep,41.3,53.1,40.7,57.5,46.6,52.6
IN-06,"Messer, Luke",Rep,27.4,67.7,37.3,60.4,43.6,55
IN-07,"Carson, Andre",Dem,59,36.2,62.9,35.4,66.3,32.8
IN-08,"Bucshon, Larry",Rep,30.9,64.6,39.6,58.4,48.1,50.6
IN-09,"Hollingsworth, Trey",Rep,34.2,61.1,40.7,57.2,46.2,52.7
KS-01,"Marshall, Roger",Rep,24.3,69.3,27.6,70.1,31,67.2
KS-02,"Jenkins, Lynn",Rep,37.4,55.8,42,55.6,45.3,52.8
KS-03,"Yoder, Kevin",Rep,47.2,46,44.3,53.8,48.8,49.9
KS-04,,Rep,33,60.2,36.1,61.6,39.5,58.6
KY-01,"Comer, James",Rep,23.9,72.4,32.1,66.4,36.9,61.6
KY-02,"Guthrie, Brett",Rep,27.6,67.5,35.1,63.3,37.2,61.5
KY-03,"Yarmuth, John",Dem,54.9,39.9,55.7,42.8,56.2,42.8
KY-04,"Massie, Thomas",Rep,29.3,65.2,34.8,63.4,37,61.5
KY-05,"Rogers, Hal",Rep,17.5,79.6,23.2,75,31.6,66.6
KY-06,"Barr, Andy",Rep,39.4,54.7,42.2,55.8,44.8,53.7
LA-01,"Scalise, Steve",Rep,26.7,68.7,26.9,70.9,25.3,72.7
LA-02,"Richmond, Cedric",Dem,74.6,22.2,75.8,22.8,73.4,25.4
LA-03,"Higgins, Clay",Rep,29.2,67.3,32.3,66.1,34.1,64.2
LA-04,"Johnson, Mike",Rep,36.6,60.6,39.7,59,39.9,58.9
LA-05,"Abraham, Ralph",Rep,34.1,63.5,37.7,61,36.7,62
LA-06,"Graves, Garret",Rep,31,64.8,32,66.1,30.9,67.5
MA-01,"Neal, Richard",Dem,57.2,36.5,64,34.3,64.1,33.7
MA-02,"McGovern, Jim",Dem,56.2,36.8,58.7,39.2,60.4,37.5
MA-03,"Tsongas, Niki",Dem,58.2,35.4,56.9,41.4,58.8,39.4
